Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Rps23	-1.18396758064109	-0.243629577682518	0.00180787779530472	2.742830929291258	3	1.09602893076229	0.132285880156498	0.71978100281663	0.14279961986813727	0	old
Fras1	1.24031693647146	0.310708817589077	0.0084146227075774	2.0749653520221574	3	1.31509127116749	0.395162930233358	0.319269413306772	0.49584268580871815	0	old
Ttpal	1.12537762440619	0.170409184058901	0.0192423599428094	1.7157416658071414	2	1.06049206605649	0.0847338275598771	0.818985769944814	0.08672364413473889	0	old
Rps13	-1.26107975883604	-0.334659523912236	1.18074836523478e-6	5.9278426470385845	3	-1.03400790188512	-0.0482472107659221	0.908579840038589	0.04163690372778642	0	old
Atp5e	-1.1697618425665	-0.226214834490478	0.0201222326157511	1.6963238348035676	2	-1.02426161119414	-0.0345842475336314	0.958540557947459	0.018389506447756783	0	old
Rpl34	-1.20280296528302	-0.266400329720463	0.00430898185735658	2.3656253344719738	3	-1.05701767943854	-0.079999507113225607	0.884447828655831	0.053327779933606816	0	old
Rpl27	-1.35038530982683	-0.433371114878072	7.52916374730358e-5	4.12325325754428	3	-1.1087140411624	-0.148887314467314	0.727534409544801	0.13814646141829875	0	old
Epha5	1.18593337633249	0.246022964070653	3.01029408678472e-4	3.5213910744962336	3	1.03038592958141	0.0431847980006137	0.929802626713399	0.031609231259488654	0	old
Scrt1	-1.16414450221565	-0.219270147327646	2.29583295147083e-4	3.6390597150953745	3	-1.10209019155576	-0.140242294313639	0.631560796245759	0.19958483639421257	0	old
Rpl8	-1.15829415024607	-0.212001674063069	1.80171432003036e-4	3.744314069666667	3	-1.06120522620962	-0.0857036856624231	0.653620677853874	0.18467421697780714	0	old
Pank3	1.1216856676077	0.165668443042722	0.0440938570229861	1.3556219104607043	2	-1.1123440987149	-0.153603148418905	0.435875394259438	0.36063764678632343	0	old
Nav3	1.18930709579696	0.250121287310762	0.0338434382089677	1.470525522721321	2	1.00650635715739	0.0093562844405611	0.990315936948415	0.0042262318830130355	0	old
Rps24	-1.14619048297383	-0.196846822459133	0.001308827019354	2.8831177480284795	3	1.01278938585291	0.0183341903512401	0.979098122648051	0.00917378216091837	0	old
Atp5g1	-1.11233530356017	-0.15359174117874	0.0179685752884289	1.745486356330248	2	1.02403680716256	0.0342675713501929	0.910284470675728	0.04082286620802313	0	old
Ubald1	-1.13492323695794	-0.182594720947669	0.00686400424027406	2.1634224568716096	3	1.02608116880218	0.0371448607661719	0.902213131432836	0.04469085617056512	0	old
Aldh1l1	-1.17577048335531	-0.233606465921361	0.0367717687933938	1.4344854792218407	2	-1.10544240532461	-0.144623861230935	0.690308576975571	0.16095673053749315	0	old
Ptprf	1.18023569317173	0.23907499468493	0.00612729055595356	2.2127315249470767	3	1.04059553890229	0.057409427517252	0.908183540983719	0.04182637308548177	0	old
Gucy1a2	1.29378980289794	0.37160324719953	0.0249856216226721	1.6023098411808498	2	-1.17461656130493	-0.232189884122893	0.723170306594152	0.14075941431788905	0	old
Rpl13a	-1.20758986111335	-0.272130549192652	5.03708378879099e-6	5.29782082486059	3	-1.0825828831163	-0.114477482673367	0.832533364926962	0.07959835252037246	0	old
Klhl24	1.11875403818375	0.161892889846987	0.0192423599428094	1.7157416658071414	2	-1.02929006245887	-0.0416496029325915	0.912846794293354	0.039602105243551365	0	old
Pnkd	-1.12875091588468	-0.174727158330055	0.00180787779530472	2.742830929291258	3	-1.04273517935455	-0.0603728070018835	0.713079677495505	0.14686194060632582	0	old
Cplx1	-1.25569502913797	-0.328486119185796	1.42949948698994e-5	4.84481599616292	3	-1.14650612095902	-0.197244057189664	0.104749774193946	0.9798469045566927	0	old
